Nº Colecção;ISBN;Título;Edição;Autor;Autor 2;Editora;Ano;Género;Idioma;Páginas;Localização;Estado;Observações;Valor;Capa (URL)
150-2213;9782840560111;Memoire de la chambre jaune;;Jean Hélion;Ecole nationale superieure des beaux-arts;Ecole nationale superieure des beaux-arts;1994;;;207;;Disponível;;;https://covers.openlibrary.org/b/id/2172865-L.jpg
150-2214;9781586488796;Lisbon;;Neill Lochery;PublicAffairs;PublicAffairs;2011;;;306;;Disponível;;;https://covers.openlibrary.org/b/id/11671726-L.jpg
150-2215;9780893817282;Pursuing the dream;;Stephen Shames;Aperture;Aperture;1997;;;159;;Disponível;;;https://covers.openlibrary.org/b/id/692548-L.jpg
150-2216;9789727971640;Beatriz Costa : 1907-2007 : álbum de retratos;1.ª edição;Alvarez, José Carlos;Damas, Carlos Alberto;Instituto dos Museus e da Conservação (Museu Nacional do Teatro) / Centro de Estudos da História do Grupo Banco Espírito Santo;2007;Fotografia;Português;111;;Disponível;;;https://covers.openlibrary.org/b/id/316442-L.jpg
150-2217;9789722013574;Mercator: Teoria e Prática do Marketing;6.ª edição atualizada;Lendrevie, Jacques et al.;;Publicações Dom Quixote;1996;Gestão;Português;644;;Disponível;;;https://covers.openlibrary.org/b/id/6383083-L.jpg
150-2218;9789728529499;A arte ao microscópio;;Proença, Pedro;;Fenda Edições;2002;Fotografia;Português;;;Disponível;;;https://covers.openlibrary.org/b/id/13519012-L.jpg
150-2219;9788577343119;Refúgio do olhar;;Márcia Mello;Mauricio Lissovsky;Casa da Palavra;2013;Fotografia;;283;;Disponível;;;https://covers.openlibrary.org/b/id/12156182-L.jpg
150-2220;9783961713660;Fire Hb;;PICTET;Antique Collectors' Club;Antique Collectors' Club;2022;Fotografia;;;;Disponível;;;
150-2221;9780893817275;Diana & Nikon;;Janet Malcolm;Aperture;Aperture;1997;Fotografia;;212;;Disponível;;;https://covers.openlibrary.org/b/id/692547-L.jpg
150-2222;9788882153274;Maestri della fotografia dell'avanguardia ceca negli anni venti e trenta;;Vladimír Birgus;Margit Zuckriegl;Silvana;2001;Fotografia;;47;;Disponível;;;https://covers.openlibrary.org/b/id/11671726-L.jpg
150-2223;9780893816315;One thousand suns;;Asit Chandmal;Aperture;Aperture;1995;Fotografia;;127;;Disponível;;;https://covers.openlibrary.org/b/id/1652209-L.jpg
150-2224;9789619012802;Storm Over the Balkans;;"Latif Adrovic; Sabolcs Dudas; Emil Vas";"Danilo Krstanovic; Jaroslav Pap";K.A.M.E.N.K.O;1995;Fotografia;;192;;Disponível;;;https://covers.openlibrary.org/b/id/3351890-L.jpg
150-2225;9780952710400;The Human Motif;;Zofia Kulik;Simon Herbert;Art Books Intl Ltd;1997;Fotografia;;14;;Disponível;;;https://covers.openlibrary.org/b/id/2694189-L.jpg
150-2226;9780893816124;Mediterranean;;Mimmo Jodice;Aperture;Aperture;1995;Fotografia;;111;;Disponível;;;https://covers.openlibrary.org/b/id/692509-L.jpg
150-2227;9780892365609;Nadar--Warhol, Paris--New York;;Gordon Baldwin;J. Paul Getty Museum;J. Paul Getty Museum;1999;Fotografia;;235;;Disponível;;;https://covers.openlibrary.org/b/id/1650013-L.jpg
150-2228;9783791320038;Facing the Artist (Prestel);;John Gruen;Prestel;Prestel;1999;Fotografia;;85;;Disponível;;;https://covers.openlibrary.org/b/id/1026964-L.jpg
150-2229;9782914426091;Le désastre du moi;;Jürgen Klauke;Maison européenne de la photographie;Maison européenne de la photographie;2001;Fotografia;;68;;Disponível;;;https://covers.openlibrary.org/b/id/692547-L.jpg
150-2230;9783775710114;The geometry of innocence;;Ken Schles;Hatje Cantz;Hatje Cantz;2001;Fotografia;;128;;Disponível;;;https://covers.openlibrary.org/b/id/2238102-L.jpg
150-2231;9780893818234;Tina Modotti;;Tina Modotti;Patricia Albers;Aperture;1999;Fotografia;;95;;Disponível;;;https://covers.openlibrary.org/b/id/692600-L.jpg
150-2232;9780826322548;Tina Modotti;;Andrea Noble;University of New Mexico Press;University of New Mexico Press;2001;Fotografia;;172;;Disponível;;;https://covers.openlibrary.org/b/id/629542-L.jpg
150-2233;9780300098532;Tina Modotti;;Letizia Argenteri;Yale University Press;Yale University Press;2003;Fotografia;;408;;Disponível;;;https://covers.openlibrary.org/b/id/162063-L.jpg
150-2234;9782951810518;Tchernobylsty;;Guillaume Herbaut;Le Petit Camarguais;Le Petit Camarguais;2003;Fotografia;;;;Disponível;;;https://covers.openlibrary.org/b/id/692509-L.jpg
150-2235;9781892041333;Listening to cement;;Robert Stivers;Arena Editions;Arena Editions;2000;Fotografia;;46;;Disponível;;;https://covers.openlibrary.org/b/id/940754-L.jpg
150-2236;9782916373027;Jürgen Schadeberg;;Jurgen Schadeberg;IAC;IAC;2006;Fotografia;;167;;Disponível;;;https://covers.openlibrary.org/b/id/1026964-L.jpg
150-2237;9793908161058;Photographic Notes;;Christian (1946- ) Vogt;"Zurich ; New York : Edition Stemmle";"Zurich ; New York : Edition Stemmle";1998;Fotografia;;;;Disponível;;;
150-2238;9780500274903;The big picture;;Melba Levick;Thames and Hudson;Thames and Hudson;1988;Fotografia;;128;;Disponível;;;https://covers.openlibrary.org/b/id/2238102-L.jpg
150-2239;9781582342481;Film journal;;Eve Arnold;Bloomsbury Pub.;Bloomsbury Pub.;2002;Fotografia;;255;;Disponível;;;https://covers.openlibrary.org/b/id/843994-L.jpg
150-2240;9788790029494;Stardust;;Annie Leibovitz;Louisiana;Louisiana;2000;Fotografia;;47;;Disponível;;;https://covers.openlibrary.org/b/id/629542-L.jpg
150-2241;9783908162520;Nudes;;Irina Ionesco;Edition Stemmle;Edition Stemmle;1996;Fotografia;;144;;Disponível;;;https://covers.openlibrary.org/b/id/3282708-L.jpg
150-2242;9780821227305;On the body;;Imogen Cunningham;Bulfinch Press;Bulfinch Press;2001;Fotografia;;176;;Disponível;;;
150-2243;9780821227329;Imogen Cunningham Portraiture;;Richard Lorenz;Bulfinch Press;Bulfinch Press;2001;Fotografia;;200;;Disponível;;;https://covers.openlibrary.org/b/id/7511650-L.jpg
150-2244;9781870845304;In the Sixties;;Frank Habicht;Axis Publishing;Axis Publishing;1998;Fotografia;;120;;Disponível;;;https://covers.openlibrary.org/b/id/3018783-L.jpg
150-2245;9782880463731;Erotica (Pro-Lighting Series);;Alex Larg;Rotovision;Rotovision;1999;Fotografia;;160;;Disponível;;;https://covers.openlibrary.org/b/id/992900-L.jpg
150-2246;9780789301291;Body & Soul;;Duane Thomas;Universe Publishing;Universe Publishing;1998;Fotografia;;144;;Disponível;;;https://covers.openlibrary.org/b/id/550765-L.jpg
150-2247;9782850187940;La Photo en première ligne;;B Gysembergh;Filipacchi - Sonodip;Filipacchi - Sonodip;2001;Fotografia;;224;;Disponível;;;https://covers.openlibrary.org/b/id/3144667-L.jpg
150-2248;9782951844902;Serge Comte - Z;;Serge Comte;Images Modernes,France;Images Modernes,France;2002;Fotografia;;160;;Disponível;;;https://covers.openlibrary.org/b/id/6295172-L.jpg
150-2249;9783822880975;Black ladies;;Uwe Ommer;Taschen;Taschen;1997;Fotografia;;160;;Disponível;;;https://covers.openlibrary.org/b/id/1030468-L.jpg
150-2250;9781858941769;Distinctly American;;Alan Trachtenberg;Ralph Lieberman;Merrell in association with the Iris & B. Gerald Cantor Center for Visual Arts at Stanford University;2002;Fotografia;;140;;Disponível;;;https://covers.openlibrary.org/b/id/4266762-L.jpg
150-2251;9782850185632;Droit de Regard;;Jacques Bergaud;;Éditions Filipacchi;1984;Fotografia;Francês;;;Disponível;;;https://covers.openlibrary.org/b/id/7511650-L.jpg
150-2252;9789728418465;Homens: Retratos de amor, compromisso e vida;1.ª edição;Jones, Anderson;David Fields;Centralivros;1998;Fotografia;Português;128;;Disponível;;;https://covers.openlibrary.org/b/id/3018783-L.jpg
150-2253;9783908163404;The Fabric of Dreams;;Gerard Uferas;Edition Stemmle;Edition Stemmle;2002;Fotografia;;144;;Disponível;;;https://covers.openlibrary.org/b/id/1038271-L.jpg
150-2254;9781550960006;About face;;John Reeves;Exile Editions;Exile Editions;1990;Fotografia;;96;;Disponível;;;https://covers.openlibrary.org/b/id/5287754-L.jpg
150-2255;9783791381459;Yuri Dojc;;Katya Krausova;Prestel Publishing;Prestel Publishing;2015;Fotografia;;128;;Disponível;;;https://covers.openlibrary.org/b/id/3144667-L.jpg
150-2256;9783822871720;Bernard of Hollywood Pin-Ups;;Bruno Bernard;Benedikt Taschen Verlag;Benedikt Taschen Verlag;1999;Fotografia;;160;;Disponível;;;https://covers.openlibrary.org/b/id/1030345-L.jpg
150-2257;9780954264864;Reflex;;Mark Sanders;Kyoichi Tsuzuki;Trolley;2003;Fotografia;;276;;Disponível;;;https://covers.openlibrary.org/b/id/1030468-L.jpg
150-2258;9783775711296;Clemens Kalischer;;Denis Brudna;Kelly Wise;Hatje Cantz;2002;Fotografia;;175;;Disponível;;;https://covers.openlibrary.org/b/id/4266762-L.jpg
150-2259;9780821223765;Lillian Bassman;;Lillian Bassman;Little, Brown;Little, Brown;1997;Fotografia;;74;;Disponível;;;https://covers.openlibrary.org/b/id/8505157-L.jpg
150-2260;9782851084484;Un certain Robert Doisneau;;Robert Doisneau;Chene;Chene;1986;Fotografia;;173;;Disponível;;;
150-2261;9783893229475;Marie Jo Lafontaine;;Achille Bonito Oliva;Cantz;Cantz;1999;Fotografia;;240;;Disponível;;;https://covers.openlibrary.org/b/id/13825786-L.jpg
150-2262;9783775791199;Marie-Jo Lafontaine;;Willem Elias;Hatje Cantz Publishers;Hatje Cantz Publishers;2003;Fotografia;;176;;Disponível;;;https://covers.openlibrary.org/b/id/2238498-L.jpg
150-2263;9789728462529;Au féminin;;Jorge Calado;Fundacão Calouste Gulbenkian;Fundacão Calouste Gulbenkian;2009;Fotografia;;339;;Disponível;;;
150-2264;9780297843115;The eye of war;;Phillip Knightley;John Keegan;Weidenfeld & Nicolson;2003;Fotografia;;287;;Disponível;;;https://covers.openlibrary.org/b/id/2353230-L.jpg
150-2265;9783908161332;Alvin Langdon Coburn;;Alvin Langdon Coburn;Edition Stemmle;Edition Stemmle;1998;Fotografia;;208;;Disponível;;;https://covers.openlibrary.org/b/id/1038242-L.jpg
150-2266;9783037780800;Pour Le Corbusier;;René Burri;L. Müller;L. Müller;2006;Fotografia;;82;;Disponível;;;
150-2267;9780821228944;The great warriors;;Edward S. Curtis;Bulfinch Press;Bulfinch Press;2004;Fotografia;;127;;Disponível;;;https://covers.openlibrary.org/b/id/1556185-L.jpg
150-2268;9783822871836;Edward Sheriff Curtis 1868-1952 (Photobook);;Hans Christian Adam;Benedikt Taschen Verlag;Benedikt Taschen Verlag;1999;Fotografia;;255;;Disponível;;;https://covers.openlibrary.org/b/id/1030352-L.jpg
150-2269;9780929445137;Kodachrome;;Els Rijper;Delano Greenridge Editions;Delano Greenridge Editions;2002;Fotografia;;230;;Disponível;;;https://covers.openlibrary.org/b/id/709643-L.jpg
150-2270;9780821228128;The photography of Charles Sheeler;;Theodore E. Stebbins;Bulfinch;Bulfinch;2002;Fotografia;;224;;Disponível;;;https://covers.openlibrary.org/b/id/2238498-L.jpg
150-2271;9781574880755;The Vietnam War;;Donald M. Goldstein;J. Michael Wenger;Brassey's;1997;Fotografia;;179;;Disponível;;;https://covers.openlibrary.org/b/id/1926515-L.jpg
150-2272;9781550547887;Passionate vision;;Roberta Lynn Bondar;Vancouver;;;Fotografia;;175;;Disponível;;;https://covers.openlibrary.org/b/id/2353230-L.jpg
150-2273;9788880953111;Venetian Colour;;Antonio Attini;White Star;White Star;2001;Fotografia;;128;;Disponível;;;https://covers.openlibrary.org/b/id/1049536-L.jpg
150-2274;9789722112956;Êxodos;1.ª edição;Sebastião Salgado;;Editorial Caminho;1999;Fotografia;Português;431;;Disponível;;;https://img.wook.pt/images/exodos-sebastiao-salgado/MXw1OTA2OXw4OTEzNnwxNzc3MDMwNzU5MDAwfHdlYnA=/550x
150-2275;9789996569197;Between gaze and hallucination;;João Miguel Barros;;Edição de Autor;2017;Fotografia;Inglês;;;Disponível;;;"https://placartphoto.com/media/PlacArt/Book_Image/image/15291/scalex/1200;joao_miguel_barros_between_gaze_and_hallucination_signed.jpg"
150-2276;9781933045238;Bygone Days:1907-1957 Photographs By John Penor And Family;;John Penor;D.A.P./Distributed Art Publishers, Inc.;D.A.P./Distributed Art Publishers, Inc.;2005;;;212;;Disponível;;;https://covers.openlibrary.org/b/id/960967-L.jpg
150-2277;9788417047320;1968. The Fire of Ideas;;Marcelo Brodsky;RM Verlag, S.L.;RM Verlag, S.L.;2018;;;72;;Disponível;;;https://covers.openlibrary.org/b/id/709643-L.jpg
150-2278;9783908163015;Sandi Fellman;;Diane Ackerman;Edition Stemmle;Edition Stemmle;1999;;;112;;Disponível;;;https://covers.openlibrary.org/b/id/2256719-L.jpg
150-2279;9781853686412;The Underwater Photography Handbook;;Annemarie Kohler;Danja Kohler;New Holland Publishers Ltd;1998;;;160;;Disponível;;;https://covers.openlibrary.org/b/id/2050024-L.jpg
150-2280;9781858940977;The Photography of John Gutmann;;Sandra B. Phillips;Sandra S. Phillips;Merrell;2000;;;144;;Disponível;;;https://covers.openlibrary.org/b/id/2059119-L.jpg
150-2281;9780262194013;Germaine Krull;;Kim Sichel;The MIT Press;The MIT Press;1999;;;363;;Disponível;;;https://covers.openlibrary.org/b/id/2342020-L.jpg
150-2282;9780893816421;West from the Columbia;;Robert Adams;Aperture;Aperture;1995;;;79;;Disponível;;;https://covers.openlibrary.org/b/id/692517-L.jpg
150-2283;9780942160123;Jewish Women;;Joan Roth;Distributed Art Pub Inc;Distributed Art Pub Inc;1995;;;;;Disponível;;;"https://placartphoto.com/media/PlacArt/Book_Image/image/15291/scalex/1200;joao_miguel_barros_between_gaze_and_hallucination_signed.jpg"
150-2284;9782850256875;Manuel Alvarez Bravo;;Brigitte Ollier;Hazan;Hazan;1999;;;116;;Disponível;;;https://covers.openlibrary.org/b/id/2175777-L.jpg
150-2285;9781869190675;Witness;;Jurgen Schadeberg;Protea Book House;Protea Book House;2004;;;143;;Disponível;;;
150-2286;9780893818012;Miguel Rio Branco;;Miguel Rio Branco;Aperture;Aperture;1998;;;149;;Disponível;;;https://covers.openlibrary.org/b/id/1652227-L.jpg
150-2287;9780893813734;From Adams to Stieglitz;;Nancy Wynne Newhall;Aperture;Aperture;1989;;;172;;Disponível;;;https://covers.openlibrary.org/b/id/8326375-L.jpg
150-2288;9782732424125;Tsiganes vagabonds des steppes;;Lyalya Kouznetsova;Editions de La Martinière;Editions de La Martinière;1998;;;167;;Disponível;;;https://covers.openlibrary.org/b/id/2059119-L.jpg
150-2289;9782825801666;Paul Vionnet, pionnier de la photographie sur papier, 1845-1856;;Paul Vionnet;Ides et calendes;Ides et calendes;2000;;;155;;Disponível;;;https://covers.openlibrary.org/b/id/2342020-L.jpg
150-2290;9780500019078;Eye to I;;Erwin Blumenfeld;Michael Mitchell;Thames and Hudson;1999;;;384;;Disponível;;;https://covers.openlibrary.org/b/id/6655021-L.jpg
150-2291;9780817433093;The Art and Attitude of Commercial Photography;;Rick Souders;Selina Oppenheim;Amphoto Books;2002;;;160;;Disponível;;;https://covers.openlibrary.org/b/id/1552864-L.jpg
150-2292;9780715309674;Art of Nature Photography;;Niall Benvie;David & Charles Publishers;David & Charles Publishers;2001;;;160;;Disponível;;;https://covers.openlibrary.org/b/id/454601-L.jpg
150-2293;9780893819934;Tir a'mhurain;;Paul Strand;Aperture;Aperture;2002;;;125;;Disponível;;;https://covers.openlibrary.org/b/id/692667-L.jpg
150-2294;9788460906971;Vidas privadas;;Fundació Foto Colectania;Fundació Foto Colectania;Fundació Foto Colectania;2004;;;228;;Disponível;;;https://covers.openlibrary.org/b/id/1652227-L.jpg
150-2295;9780262692281;Ghost in the Shell;;Robert A. Sobieszek;The MIT Press;The MIT Press;1999;;;324;;Disponível;;;https://covers.openlibrary.org/b/id/2342855-L.jpg
150-2296;9789724818276;Douro;;Maria do Carmo Serén;Lello Editores;Lello Editores;2002;;;263;;Disponível;;;
150-2297;9783791320359;Snap me one!;;Tobias Wendl;Heike Behrend;New York;1998;;;141;;Disponível;;;
150-2298;9780811822619;The hidden canyon;;John Blaustein;Chronicle Books;Chronicle Books;1999;;;143;;Disponível;;;https://covers.openlibrary.org/b/id/600142-L.jpg
150-2299;9789729039157;Douro;;;;Empresa grafica;2003;;;191;;Disponível;;;https://covers.openlibrary.org/b/id/1552864-L.jpg
150-2300;9789723709575;Extension of the eye;;Miguel Amado;Assírio & Alvim;Assírio & Alvim;2004;;;255;;Disponível;;;https://covers.openlibrary.org/b/id/454601-L.jpg
150-2301;9788586599019;Canudos 100 anos;;Evandro Teixeira;Editora Textual;Editora Textual;1997;;;145;;Disponível;;;https://covers.openlibrary.org/b/id/692667-L.jpg
150-2302;9788477955214;Gerard Castello Lopes, Oui-non;;Gerard Castello Lopes;Luisa Costa Dias;Diputación de Valencia.;2008;;;;;Disponível;;;https://covers.openlibrary.org/b/id/12942665-L.jpg
150-2303;9780976670803;Lachapelle Land;;David Lachapelle;Channel Photographics;Channel Photographics;2005;;;152;;Disponível;;;https://covers.openlibrary.org/b/id/742428-L.jpg
150-2304;9784770026859;Yoshiki Hishinuma;;Nobuyoshi Araki;Kodansha International (JPN);Kodansha International (JPN);2001;;;120;;Disponível;;;https://covers.openlibrary.org/b/id/2261482-L.jpg
150-2305;9781234567897;Don't Forget The Paprika: A Mother's Fading Memory. A Daughter's Second Act. Two Tiny Detectives And The Search For A Forgotten Recipe.;;Richie D. Singh;Independently Published;Independently Published;2026;;;;;Disponível;;;https://covers.openlibrary.org/b/id/15228885-L.jpg
150-2306;9789723710601;Território em espera;;Duarte Belo;Assírio & Alvim;Assírio & Alvim;2005;;;78;;Disponível;;;https://covers.openlibrary.org/b/id/600142-L.jpg
150-2307;9780393322378;The poster in history;;Max Gallo;Arturo Carlo Quintavalle;W.W. Norton;2001;;;368;;Disponível;;;
150-2308;9780500283974;Photography Past/forward;;R.H. Cravens;Thames & Hudson Ltd;Thames & Hudson Ltd;2002;;;240;;Disponível;;;https://covers.openlibrary.org/b/id/1261042-L.jpg
150-2309;9782867462191;Enfance, enfances;;Claire Brisset;Hien Lam Duc;Comité français pour l'Unicef;1999;;;189;;Disponível;;;
150-2319;5604333304023;Lugares Pouco Comuns;;Mariano, João;;Fundação Sagres;2000;;Português;182;;Disponível;;;
150-2320;9789723709445;Aveiro em Papel Salgado;;Adriano Miranda;;Assírio & Alvim;2009;Fotografia;Português / Inglês;60;;Disponível;;;
150-2321;9789729060892;Kungokhala: fotografias de Moçambique;;Filipe Condado;;Edição do Autor;2005;Fotografia;Português;80;;Disponível;;;
150-2322;9788495471956;Variaciones en España: Fotografía y Arte (1900-1980);;Fernández Martínez, Horacio;;La Fábrica;2004;Fotografia;Espanhol;200;;Disponível;;;
150-2323;9789723606348;Nas Tripas;;João Miguel Carvalho;;Edições Afrontamento;2002;Pintores;Português;136;;Disponível;;;
150-2324;9789729897177;Flat Water;;Júlio de Matos;;Dematos Designers;2009;Fotografia;Português / Inglês;;;Disponível;;;
150-2325;9789898813039;100 Homens Sem Preconceitos: Um Passo Pela Igualdade;;Stilwell, Isabel et al.;;Máxima / Cofina Media;2015;Fotografia;Português;202;;Disponível;;;
150-2326;9789729563218;Trabalho de Fundo: apanha submarina de algas;;João Mariano;;1000 Olhos - Imagem e Comunicação;2001;Fotografia;Português / Inglês;178;;Disponível;;;
150-2327;9789899592230;Espólio Fotográfico Português;;Sousa, Fernando de et al.;;CEPESE;2008;Fotografia;Português / Inglês;496;;Disponível;;;
150-2328;9789720062697;O Porto e os seus Fotógrafos;;Serén, Maria do Carmo;;Porto Editora / Porto 2001;2001;Fotografia;Português;325;;Disponível;;;
